year,month,day,hour,minute,node_id,temperature_c
2026,3,30,19,10,3,22.8
2026,3,30,19,20,1,22.3
2026,3,30,19,20,2,21.7
2026,3,30,19,20,3,22.8
2026,3,30,19,30,1,22.3
2026,3,30,19,30,2,21.7
2026,3,30,19,30,3,22.8
2026,3,30,19,40,1,22.2
2026,3,30,19,40,2,21.7
2026,3,30,19,40,3,22.8
2026,3,30,19,50,1,22.2
2026,3,30,19,50,2,21.7
2026,3,30,19,50,3,22.8
2026,3,30,20,0,1,22.2
2026,3,30,20,0,2,21.7
2026,3,30,20,0,3,22.7
2026,3,30,20,10,1,22.2
2026,3,30,20,10,2,21.7
2026,3,30,20,10,3,22.7
2026,3,30,20,20,1,22.2
2026,3,30,20,20,2,21.7
2026,3,30,20,20,3,22.7
2026,3,30,20,30,1,22.1
2026,3,30,20,30,2,21.6
2026,3,30,20,30,3,22.7
2026,3,30,20,40,1,22.1
2026,3,30,20,40,2,21.6
2026,3,30,20,40,3,22.6
2026,3,30,20,50,1,22.1
2026,3,30,20,50,2,21.6
2026,3,30,20,50,3,22.6
2026,3,30,21,0,1,22.0
2026,3,30,21,0,2,21.5
2026,3,30,21,0,3,22.6
2026,3,30,21,10,1,22.0
2026,3,30,21,10,2,21.5
2026,3,30,21,10,3,22.6
2026,3,30,21,20,1,21.9
2026,3,30,21,20,2,21.5
2026,3,30,21,20,3,22.6
2026,3,30,21,30,1,21.9
2026,3,30,21,30,2,21.5
2026,3,30,21,30,3,22.5
2026,3,30,21,40,1,21.9
2026,3,30,21,40,2,21.5
2026,3,30,21,40,3,22.6
2026,3,30,21,50,1,21.9
2026,3,30,21,50,2,21.5
2026,3,30,21,50,3,22.6
2026,3,30,22,0,1,21.9
2026,3,30,22,0,2,21.5
2026,3,30,22,0,3,22.6
2026,3,30,22,10,1,21.9
2026,3,30,22,10,2,21.5
2026,3,30,22,10,3,22.6
2026,3,30,22,20,1,22.0
2026,3,30,22,20,2,21.5
2026,3,30,22,20,3,22.7
2026,3,30,22,30,1,22.0
2026,3,30,22,30,2,21.6
2026,3,30,22,30,3,22.7
2026,3,30,22,40,1,22.0
2026,3,30,22,40,2,21.6
2026,3,30,22,40,3,22.8
2026,3,30,22,50,1,22.1
2026,3,30,22,50,2,21.7
2026,3,30,22,50,3,22.9
2026,3,30,23,0,1,22.1
2026,3,30,23,0,2,21.7
2026,3,30,23,0,3,22.9
2026,3,30,23,10,1,22.1
2026,3,30,23,10,2,21.7
2026,3,30,23,10,3,22.9
2026,3,30,23,20,1,22.2
2026,3,30,23,20,2,21.8
2026,3,30,23,20,3,23.0
2026,3,30,23,30,1,22.2
2026,3,30,23,30,2,21.8
2026,3,30,23,30,3,23.0
2026,3,30,23,40,1,22.2
2026,3,30,23,40,2,21.8
2026,3,30,23,40,3,23.0
2026,3,30,23,50,1,22.2
2026,3,30,23,50,2,21.8
2026,3,30,23,50,3,23.0
2026,3,31,0,0,1,22.3
2026,3,31,0,0,2,21.8
2026,3,31,0,0,3,23.0
2026,3,31,0,10,1,22.3
2026,3,31,0,10,2,21.8
2026,3,31,0,10,3,23.0
2026,3,31,0,20,1,22.3
2026,3,31,0,20,2,21.8
2026,3,31,0,20,3,23.0
2026,3,31,0,30,1,22.3
2026,3,31,0,30,2,21.8
2026,3,31,0,30,3,23.0
2026,3,31,0,40,1,22.3
2026,3,31,0,40,2,21.8
2026,3,31,0,40,3,23.0
2026,3,31,0,50,1,22.3
2026,3,31,0,50,2,21.8
2026,3,31,0,50,3,23.0
2026,3,31,1,0,1,22.3
2026,3,31,1,0,2,21.8
2026,3,31,1,0,3,22.9
2026,3,31,1,10,1,22.3
2026,3,31,1,10,2,21.8
2026,3,31,1,10,3,22.9
2026,3,31,1,20,1,22.3
2026,3,31,1,20,2,21.8
2026,3,31,1,20,3,22.9
2026,3,31,1,30,1,22.3
2026,3,31,1,30,2,21.8
2026,3,31,1,30,3,22.9
2026,3,31,1,40,1,22.3
2026,3,31,1,40,2,21.8
2026,3,31,1,40,3,22.9
2026,3,31,1,50,1,22.3
2026,3,31,1,50,2,21.7
2026,3,31,1,50,3,22.9
2026,3,31,2,0,1,22.3
2026,3,31,2,0,2,21.7
2026,3,31,2,0,3,22.8
2026,3,31,2,10,1,22.2
2026,3,31,2,10,2,21.7
2026,3,31,2,10,3,22.8
2026,3,31,2,20,1,22.2
2026,3,31,2,20,2,21.7
2026,3,31,2,20,3,22.8
2026,3,31,2,30,1,22.2
2026,3,31,2,30,2,21.7
2026,3,31,2,30,3,22.8
2026,3,31,2,40,1,22.2
2026,3,31,2,40,2,21.7
2026,3,31,2,40,3,22.7
2026,3,31,2,50,1,22.1
2026,3,31,2,50,2,21.7
2026,3,31,2,50,3,22.7
2026,3,31,3,0,1,22.1
2026,3,31,3,0,2,21.6
2026,3,31,3,0,3,22.7
2026,3,31,3,10,1,22.1
2026,3,31,3,10,2,21.6
2026,3,31,3,10,3,22.7
2026,3,31,3,20,1,22.0
2026,3,31,3,20,2,21.6
2026,3,31,3,20,3,22.6
2026,3,31,3,30,1,22.0
2026,3,31,3,30,2,21.5
2026,3,31,3,30,3,22.6
